City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain Inches (last 3 hrs),Snow Inches (last 3 hrs)
190,Bikramganj,IN,2019-11-10 05:51:50,25.22,84.27,84.16,47,0,5.5,clear sky,0.0,0.0
191,Muravlenko,RU,2019-11-10 05:51:51,63.79,74.5,-6.58,94,45,5.19,scattered clouds,0.0,0.0
192,Tura,RU,2019-11-10 05:51:51,64.27,100.22,-13.8,88,77,4.09,broken clouds,0.0,0.0
193,Caravelas,BR,2019-11-10 05:51:51,-17.73,-39.27,68.18,95,3,4.7,clear sky,0.0,0.0
194,Massakory,TD,2019-11-10 05:51:52,13.0,15.73,80.87,13,100,8.57,overcast clouds,0.0,0.0
195,Kavaratti,IN,2019-11-10 05:50:03,10.57,72.64,86.0,70,20,6.93,few clouds,0.0,0.0
196,Pundaguitan,PH,2019-11-10 05:51:53,6.37,126.17,85.01,62,64,3.53,broken clouds,0.0,0.0
197,Kieta,PG,2019-11-10 05:51:54,-6.22,155.63,83.14,69,61,4.83,light rain,1.31,0.0
198,Hojai,IN,2019-11-10 05:51:54,26.0,92.85,72.59,88,99,3.31,light rain,0.38,0.0
199,Fortuna,US,2019-11-10 05:51:55,40.6,-124.16,51.01,93,90,3.31,overcast clouds,0.0,0.0
200,Tamarindo,CU,2019-11-10 05:51:55,22.12,-78.91,71.98,95,53,8.97,broken clouds,0.0,0.0
201,Padang,ID,2019-11-10 05:51:56,-0.92,100.36,74.8,89,78,3.96,light rain,2.0,0.0
202,Cockburn Town,TC,2019-11-10 05:47:03,21.46,-71.14,82.15,74,2,5.37,light rain,1.44,0.0
203,Fougamou,GA,2019-11-10 05:51:57,-1.22,10.59,75.2,97,96,1.14,overcast clouds,0.0,0.0
204,Pochutla,MX,2019-11-10 05:51:58,15.74,-96.47,77.0,89,39,5.01,scattered clouds,0.0,0.0
205,Port Alfred,ZA,2019-11-10 05:51:58,-33.59,26.89,64.0,94,100,5.99,overcast clouds,0.0,0.0
206,Chokurdakh,RU,2019-11-10 05:51:58,70.62,147.9,-2.87,96,71,5.46,broken clouds,0.0,0.0
